"","Security","Date","ROC","RSI","SO_SMA","CCI","Change"
"106","HDFC",2017-01-23,8.3,60.6968846892071,61.9356742401889,51.9,"LOSS"
"107","HDFC",2017-01-24,6.9,61.8288464430741,54.5785384085768,44.313,"LOSS"
"108","HDFC",2017-01-25,6.5,61.7452688495043,49.9122306294407,15.988,"LOSS"
"109","HDFC",2017-01-27,-5.7,60.0528689161872,47.9980632953486,25.297,"LOSS"
"110","HDFC",2017-01-30,-2.7,59.0429597920807,44.9007936507936,-0.772,"LOSS"
"111","HDFC",2017-01-31,-2.5,29.5397698849425,36.6382322786723,-3.62,"GAIN"
"112","HDFC",2017-02-01,-2.1,42.5695677915926,34.3438351620275,1.399,"GAIN"
"113","HDFC",2017-02-02,-1.3,46.2442040185472,34.6361753396888,10.489,"GAIN"
"114","HDFC",2017-02-03,0.66,43.3181225554107,41.6475535168196,-3.527,"GAIN"
"115","HDFC",2017-02-06,-1.2,52.4217365623154,51.4334862385322,31.161,"GAIN"
"116","HDFC",2017-02-07,2.3,69.6798975672215,67.1960624345792,165.345,"GAIN"
"117","HDFC",2017-02-08,6.7,67.1019727702139,85.0698567520025,207.491,"GAIN"
"118","HDFC",2017-02-09,9.7,68.9483346446368,95.0200246324527,178.842,"GAIN"
"119","HDFC",2017-02-10,13,81.3637466634312,97.0526546507462,187.491,"LOSS"
"120","HDFC",2017-02-13,10,73.0501089324619,90.2966627451801,129.539,"LOSS"
"121","HDFC",2017-02-14,7.7,65.2207741684497,78.023186934078,81.928,"LOSS"
"122","HDFC",2017-02-15,6.5,61.4665444546288,62.5774480177546,41.948,"GAIN"
"123","HDFC",2017-02-16,12,68.3216570210174,63.4024442642775,79.723,"GAIN"
"124","HDFC",2017-02-17,11,70.0155279503106,68.7680577487029,92.251,"LOSS"
"125","HDFC",2017-02-20,11,70.7960433349035,77.4796923989385,82.244,"LOSS"
"126","HDFC",2017-02-21,10,68.4371479156607,74.7742181548084,66.062,"LOSS"
"127","HDFC",2017-02-22,7,66.0888748818153,70.4627377019077,50.555,"LOSS"
"128","HDFC",2017-02-23,1.6,63.4819532908705,64.2089978057629,28.265,"LOSS"
"129","HDFC",2017-02-27,-0.95,60.3712671509282,57.6261012176892,17.863,"GAIN"
"130","HDFC",2017-02-28,-2.1,53.7577698248258,46.0084815309635,24.964,"GAIN"
"131","HDFC",2017-03-01,-2.1,54.9293188911328,48.7878519828985,50.636,"LOSS"
"132","HDFC",2017-03-02,-1.3,46.7491166077738,44.2272347535506,34.163,"GAIN"
"133","HDFC",2017-03-03,2.7,43.2605421686747,54.7441875820176,38.256,"LOSS"
"134","HDFC",2017-03-06,2.5,45.6858846918489,47.2002432045085,8.008,"GAIN"
"135","HDFC",2017-03-07,-1.6,53.1372549019608,52.1741383887166,1.243,"LOSS"
"136","HDFC",2017-03-08,-2.4,56.6418950301904,45.5487942303358,-39.333,"LOSS"
"137","HDFC",2017-03-09,-2.6,39.5398122918559,39.9183288468229,-66.652,"LOSS"
"138","HDFC",2017-03-10,-2.3,38.8787878787879,30.6121566170011,-75.539,"GAIN"
"139","HDFC",2017-03-14,-1.1,41.6517055655296,27.5578790141896,-36.022,"GAIN"
"140","HDFC",2017-03-15,0.63,45.6655891860123,33.8063231267114,8.811,"GAIN"
"141","HDFC",2017-03-16,0.91,48.6846177653977,41.0256410256409,17.726,"GAIN"
"142","HDFC",2017-03-17,1.1,54.4213263979193,48.0458053273586,4.12,"LOSS"
"143","HDFC",2017-03-20,-1.9,54.6523016650343,49.939085648692,13.547,"LOSS"
"144","HDFC",2017-03-21,-1.1,48.294434470377,42.7922798915828,-62.008,"LOSS"
"145","HDFC",2017-03-22,-3.3,32.3246707013172,28.7591609805408,-121.719,"GAIN"
"146","HDFC",2017-03-23,-0.74,43.8963210702342,20.4235836971583,-80.849,"GAIN"
"147","HDFC",2017-03-24,-1.2,34.1511285574093,21.2872866068861,-68.059,"LOSS"
"148","HDFC",2017-03-27,-1.5,39.5904436860069,21.0989166607661,-104.237,"GAIN"
"149","HDFC",2017-03-28,-0.31,39.795918367347,21.3735345064825,-91.895,"GAIN"
"150","HDFC",2017-03-29,1.6,55.5282555282555,35.7238722242215,9.852,"GAIN"
"151","HDFC",2017-03-30,5.3,73.3585424544517,62.293352547759,191.399,"GAIN"
"152","HDFC",2017-03-31,6,76.6759345072598,83.0031090629049,210.119,"GAIN"
"153","HDFC",2017-04-03,9.3,80.8083375699034,90.6935778649829,213.724,"GAIN"
"154","HDFC",2017-04-05,9.1,80.3077725612937,92.2801687713493,175.698,"LOSS"
"155","HDFC",2017-04-06,7.4,71.7972782731112,89.6767001114827,129.875,"GAIN"
"156","HDFC",2017-04-07,16,79.1246960750261,89.9645616105974,160.472,"GAIN"
"157","HDFC",2017-04-10,19,81.3775510204081,85.3358046588991,171.56,"GAIN"
"158","HDFC",2017-04-11,21,87.6526660708966,90.352455194112,156.323,"GAIN"
"159","HDFC",2017-04-12,22,90.2901124925992,91.9191812784852,141.117,"LOSS"
"160","HDFC",2017-04-13,23,89.4191805493021,96.6639186947925,122.859,"LOSS"
"161","HDFC",2017-04-17,22,88.4781636607542,96.3518428334931,104.186,"LOSS"
"162","HDFC",2017-04-18,16,81.1039759529991,88.8197948349137,81.786,"LOSS"
"163","HDFC",2017-04-19,12,80.5930669636642,82.1772144353785,67.453,"LOSS"
"164","HDFC",2017-04-20,9.8,78.1031468531469,74.7701627672629,55.492,"LOSS"
"165","HDFC",2017-04-21,6.2,73.5110511219841,71.4047602405911,49.019,"LOSS"
"166","HDFC",2017-04-24,5.7,71.0060219624513,65.5886355776612,39.3,"GAIN"
"167","HDFC",2017-04-25,8.6,68.1269470404984,62.4292301373107,43.981,"GAIN"
"168","HDFC",2017-04-26,3.2,69.1423185673893,63.3869061433393,46.886,"LOSS"
"169","HDFC",2017-04-27,0.082,70.9752321981424,64.0454097059035,32.072,"GAIN"
"170","HDFC",2017-04-28,-2.5,58.3101723179544,56.862810763086,22.066,"GAIN"
"171","HDFC",2017-05-02,-3.2,50.8679986898133,41.2990081431504,22.372,"GAIN"
"172","HDFC",2017-05-03,-2.4,38.9747762408463,32.003480362002,28.586,"GAIN"
"173","HDFC",2017-05-04,-2,34.8675640468954,30.1355013550136,24.715,"LOSS"
"174","HDFC",2017-05-05,0.096,32.5628548256286,30.7497741644084,14.228,"LOSS"
"175","HDFC",2017-05-08,-0.61,30.778075891146,24.1915085817525,-18.588,"GAIN"
"176","HDFC",2017-05-09,9.5,78.1201507426291,36.3360433604336,224.741,"GAIN"
"177","HDFC",2017-05-10,14,82.9370629370629,58.6116354197609,229.763,"LOSS"
"178","HDFC",2017-05-11,9.4,67.703724846582,74.5591419566407,144.824,"GAIN"
"179","HDFC",2017-05-12,9.4,69.8475902787313,73.2113023897726,124.424,"GAIN"
"180","HDFC",2017-05-15,9.8,71.8683932346723,68.1194159947701,114.117,"LOSS"
"181","HDFC",2017-05-16,9.7,67.4314933787859,70.5890898525459,96.005,"GAIN"
"182","HDFC",2017-05-17,11,67.6899063475546,72.6883126316554,98.359,"LOSS"
"183","HDFC",2017-05-18,6.7,61.2523540489642,64.1098278492046,46.197,"GAIN"
"184","HDFC",2017-05-19,7.6,63.1272401433692,61.3797899474613,55.825,"LOSS"
"185","HDFC",2017-05-22,5.4,59.3572181243414,52.4049514417663,34.412,"LOSS"
"186","HDFC",2017-05-23,3,53.4071967839984,45.0186117801621,-7.908,"GAIN"
"187","HDFC",2017-05-24,4.9,54.5437153242778,36.6615575505438,-4.752,"GAIN"
"188","HDFC",2017-05-25,-3.9,56.3545472024611,33.5960878767974,-9.96,"GAIN"
"189","HDFC",2017-05-26,-7.5,57.5213423609067,35.8352473467566,-7.458,"LOSS"
"190","HDFC",2017-05-29,-4,40.8611942240146,27.7382235446102,-5.442,"LOSS"
"191","HDFC",2017-05-30,-6,28.463476070529,17.7222780517804,-50.975,"GAIN"
"192","HDFC",2017-05-31,-6.7,37.3379587365346,10.6639217223664,-48.238,"LOSS"
"193","HDFC",2017-06-01,-6.5,31.3501565665868,9.35398363962958,-72.063,"GAIN"
"194","HDFC",2017-06-02,-7.2,27.7433113609926,9.69607017752609,-76.183,"LOSS"
"195","HDFC",2017-06-05,-4,29.2817679558011,7.37404070737402,-94.319,"LOSS"
"196","HDFC",2017-06-06,-7.2,22.1897525813365,12.7993282538737,-119.584,"GAIN"
"197","HDFC",2017-06-07,-5.1,30.363196125908,18.3988353626758,-97.065,"GAIN"
"198","HDFC",2017-06-08,1.3,38.2567625590382,34.6874353284487,-45.988,"LOSS"
"199","HDFC",2017-06-09,-0.93,40.3349932095971,42.4132740753867,-36.321,"GAIN"
"200","HDFC",2017-06-12,-1,52.2752192982456,50.2578796561605,-19.315,"LOSS"
"201","HDFC",2017-06-13,-1.3,46.5769455822118,47.5358166189112,-18.006,"LOSS"
"202","HDFC",2017-06-14,-0.69,43.605359317905,47.6695319961796,-22.293,"GAIN"
"203","HDFC",2017-06-15,3.6,56.3104505779665,55.730659025788,63.674,"GAIN"
"204","HDFC",2017-06-16,3.5,60.5358435916003,70.4693312612307,117.565,"LOSS"
"205","HDFC",2017-06-19,4.3,63.6548223350254,81.9855385768046,123.398,"LOSS"
"206","HDFC",2017-06-20,3.2,58.8641975308642,81.9670806063658,84.332,"GAIN"
"207","HDFC",2017-06-21,4.3,65.4659949622166,75.5034969415479,116.673,"LOSS"
"208","HDFC",2017-06-22,4.8,58.7083236185591,68.8162392195163,60.418,"LOSS"
"209","HDFC",2017-06-23,1.2,49.1796875,56.0912533481112,-28.57,"GAIN"
"210","HDFC",2017-06-27,-2,55.4211663066955,41.5406034213686,-56.78,"GAIN"
"211","HDFC",2017-06-28,-0.3,56.1224489795919,32.6661762984451,-49.145,"LOSS"
"212","HDFC",2017-06-29,-1.6,41.6477702191988,24.3929106338693,-34.336,"GAIN"
"213","HDFC",2017-06-30,-0.52,48.5529715762273,24.0833731456241,-55.953,"LOSS"
"214","HDFC",2017-07-03,-0.6,46.2308908803374,21.2315679198837,-31.062,"GAIN"
"215","HDFC",2017-07-04,-3.7,47.6432779860739,26.5156714710593,-25.709,"LOSS"
"216","HDFC",2017-07-05,-4.8,45.1293759512937,23.5644017387326,-48.905,"GAIN"
"217","HDFC",2017-07-06,-4.1,31.0707456978967,22.9009380004576,-53.21,"GAIN"
