"","Date","Open.Price","High.Price","Low.Price","Close.Price","WAP","No.of.Shares","No..of.Trades","Total.Turnover..Rs..","Deliverable.Quantity","X..Deli..Qty.to.Traded.Qty","Spread.High.Low","Spread.Close.Open","Security","Load.Type"
"149352","2015-05-06",1369.3,1389.45,1314.3,1364.3,"1359.17110145715",22098,3995,30034963,"4666","21.12",75.15,-5,"HDFC","DUMP"
"149521","2015-05-05",1385,1410,1381.45,1399.85,"1397.45048814505",22944,3133,32063104,"5033","21.94",28.55,14.85,"HDFC","DUMP"
"149690","2015-05-04",1340,1393.8,1337.7,1377.7,"1373.0785287499",12887,2172,17694863,"4425","34.34",56.1,37.7,"HDFC","DUMP"
"149859","2015-04-30",1329.2,1340,1316,1331.95,"1328.5216068168",4929,1359,6548283,"1209","24.53",24,2.75,"HDFC","DUMP"
"150026","2015-04-29",1342,1345,1301,1339.6,"1329.02252707581",6925,1503,9203481,"1281","18.5",44,-2.4,"HDFC","DUMP"
"150196","2015-04-28",1316.2,1343.2,1313.65,1340.05,"1335.75491986204",4929,1150,6583936,"1873","38",29.55,23.85,"HDFC","DUMP"
"150365","2015-04-27",1325.65,1339,1301,1318.4,"1316.05590175953",5456,780,7180401,"2212","40.54",38,-7.25,"HDFC","DUMP"
"150534","2015-04-24",1342.55,1372,1308,1330.15,"1330.06180886975",8591,2015,11426561,"3015","35.09",64,-12.4,"HDFC","DUMP"
"150705","2015-04-23",1374,1388,1342.15,1362.4,"1371.90077947386",6158,1197,8448165,"1479","24.02",45.85,-11.6,"HDFC","DUMP"
"150875","2015-04-22",1362,1393,1340.15,1364.05,"1368.36090504451",8088,1761,11067303,"1408","17.41",52.85,2.05,"HDFC","DUMP"
"151044","2015-04-21",1322.9,1378.9,1297.7,1362.5,"1347.04058837411",12713,2878,17124927,"3676","28.92",81.2,39.6,"HDFC","DUMP"
"151213","2015-04-20",1358.9,1359.7,1315,1324.15,"1330.39200122119",6551,1303,8715398,"1479","22.58",44.7,-34.75,"HDFC","DUMP"
"151383","2015-04-17",1372.9,1379.35,1347,1357.4,"1359.46921415069",7406,1257,10068229,"1741","23.51",32.35,-15.5,"HDFC","DUMP"
"151554","2015-04-16",1415,1415,1361,1379.15,"1379.94651681039",10321,2134,14242428,"3104","30.07",54,-35.85,"HDFC","DUMP"
"151722","2015-04-15",1394.45,1431.85,1383.65,1393.65,"1409.71181877263",21542,2837,30368012,"6505","30.2",48.2,-0.8,"HDFC","DUMP"
"151892","2015-04-13",1341,1420.9,1341,1392.45,"1395.01108076071",19403,3009,27067400,"5010","25.82",79.9,51.45,"HDFC","DUMP"
"152061","2015-04-10",1355.5,1375.95,1340,1353.55,"1351.93503511615",7404,1857,10009727,"1922","25.96",35.95,-1.95,"HDFC","DUMP"
"152231","2015-04-09",1383.35,1386.05,1350.1,1363.1,"1370.82634730539",8684,1475,11904256,"1494","17.2",35.95,-20.25,"HDFC","DUMP"
"152401","2015-04-08",1351.25,1400,1345.1,1383.35,"1381.86856416414",28318,4347,39131754,"7575","26.75",54.9,32.1,"HDFC","DUMP"
"152570","2015-04-07",1355,1369,1335,1346.75,"1352.52251608292",9793,1947,13245253,"2081","21.25",34,-8.25,"HDFC","DUMP"
"152739","2015-04-06",1285,1380.2,1278.3,1342.45,"1331.87832474109",21919,5336,29193441,"6776","30.91",101.9,57.45,"HDFC","DUMP"
"152908","2015-04-01",1264.5,1281,1264.5,1275.85,"1274.11086294416",4925,1023,6274996,"977","19.84",16.5,11.35,"HDFC","DUMP"
"153077","2015-03-31",1229.95,1265.9,1222.5,1257,"1244.82239314745",11441,2711,14242013,"2942","25.71",43.4,27.05,"HDFC","DUMP"
"153247","2015-03-30",1209.8,1235,1196.35,1211.95,"1212.37514149875",8834,1908,10710122,"3483","39.43",38.65,2.15,"HDFC","DUMP"
"153417","2015-03-27",1214,1228.95,1188.05,1198.9,"1204.61350546177",10070,2099,12130458,"3271","32.48",40.9,-15.1,"HDFC","DUMP"
